front,back,example,note
können,"can, to be able to",Ich kann heute nicht kommen.,"I cannot come today. ich kann, du kannst, er kann"
gut,"good, well",Das Essen ist sehr gut.,The food is very good.
sein,to be,Wir sind zu Hause.,"We are at home. ich bin, du bist, er ist, wir sind"
wollen,to want,Ich will ein Eis.,"I want an ice cream. ich will, du willst, er will"
immer,always,Er ist immer müde.,He is always tired.
warum,why,Warum lachst du?,Why are you laughing?
vor,"in front of, before",Das Auto steht vor dem Haus.,The car is in front of the house.
wieder,again,"Bis morgen, wir sehen uns wieder.","See you tomorrow, we will see each other again."
sagen,to say,Was sagst du?,What are you saying?
machen,"to make, to do",Was machst du heute?,What are you doing today?
danke,thank you,Danke für das Buch.,Thank you for the book.
sehr,very,Das Wasser ist sehr kalt.,The water is very cold.
alle,"all, everyone",Alle sind hier.,Everyone is here.
der Mann,the man,Der Mann liest die Zeitung.,The man is reading the newspaper. Plural: die Männer
tun,to do,Ich habe viel zu tun.,I have a lot to do.
gehen,"to go, to walk",Wir gehen in die Stadt.,We are going into town.
sehen,to see,Ich sehe einen Hund.,"I see a dog. du siehst, er sieht"
vielleicht,maybe,Vielleicht regnet es morgen.,Maybe it will rain tomorrow.
über,"over, about",Wir sprechen über den Film.,We are talking about the film.
es gibt,"there is, there are",Es gibt hier keinen Bus.,There is no bus here.
wissen,to know (a fact),Ich weiß es nicht.,"I do not know. ich weiß, du weißt, er weiß"
nie,never,Ich trinke nie Kaffee.,I never drink coffee.
wirklich,really,Ist das wirklich dein Auto?,Is that really your car?
einfach,"simple, simply",Die Aufgabe ist einfach.,The task is simple.
das Leben,the life,Das Leben in Berlin ist teuer.,Life in Berlin is expensive.
die Zeit,the time,Ich habe keine Zeit.,I have no time.
kommen,to come,Kommst du mit?,Are you coming along?
heute,today,Heute ist Montag.,Today is Monday.
sicher,"sure, safe",Bist du sicher?,Are you sure?
die Frau,"the woman, the wife",Die Frau arbeitet im Büro.,The woman works in the office. Plural: die Frauen
leid tun,to be sorry,Es tut mir leid.,I am sorry.
zurück,back,Ich komme um acht zurück.,I will come back at eight.
lassen,"to let, to leave",Lass mich in Ruhe.,"Leave me alone. du lässt, er lässt"
hallo,hello,"Hallo, wie geht es dir?","Hello, how are you?"
zwei,two,Ich habe zwei Brüder.,I have two brothers.
genau,exactly,Das ist genau richtig.,That is exactly right.
morgen,tomorrow,Morgen habe ich frei.,Tomorrow I have the day off. Der Morgen: the morning
die Leute,the people,Die Leute warten auf den Bus.,The people are waiting for the bus. Plural only
der Vater,the father,Mein Vater kocht gern.,My father likes to cook. Plural: die Väter
schön,"beautiful, nice",Das Wetter ist schön.,The weather is nice.
gerade,"right now, just",Ich esse gerade.,I am eating right now.
der Tag,the day,Der Tag ist lang.,The day is long. Plural: die Tage
reden,to talk,Wir reden über die Arbeit.,We are talking about work.
lieben,to love,Ich liebe Musik.,I love music.
jemand,someone,Jemand klopft an die Tür.,Someone is knocking at the door.
das Geld,the money,Ich habe kein Geld dabei.,I have no money with me.
durch,through,Wir gehen durch den Park.,We walk through the park.
die Mutter,the mother,Meine Mutter ist Ärztin.,My mother is a doctor. Plural: die Mütter
besser,better,Heute geht es mir besser.,I feel better today.
möchten,would like,Ich möchte einen Tee.,"I would like a tea. ich möchte, du möchtest"
helfen,to help,Kannst du mir helfen?,"Can you help me? du hilfst, er hilft"
die Nacht,the night,Die Nacht ist kalt.,The night is cold. Plural: die Nächte
finden,to find,Ich finde meinen Schlüssel nicht.,I cannot find my key.
lange,for a long time,Wir warten schon lange.,We have been waiting for a long time.
natürlich,"of course, natural",Natürlich komme ich.,Of course I am coming.
gar nicht,not at all,Das ist gar nicht schwer.,That is not hard at all.
weiter,"further, on",Wir gehen weiter.,We keep going.
geben,to give,Gib mir bitte das Salz.,"Please give me the salt. du gibst, er gibt"
gleich,"right away, same",Ich komme gleich.,I am coming right away.
recht haben,to be right,Du hast recht.,You are right.
richtig,"right, correct",Die Antwort ist richtig.,The answer is correct.
in Ordnung,"all right, okay",Alles in Ordnung?,Everything all right?
hören,"to hear, to listen",Ich höre Musik.,I am listening to music.
zu Hause,at home,Ich bleibe heute zu Hause.,I am staying at home today. nach Hause: (going) home
das Mädchen,the girl,Das Mädchen spielt im Garten.,The girl is playing in the garden. Plural: die Mädchen
der Abend,the evening,Am Abend lese ich.,In the evening I read. Plural: die Abende
das Haus,the house,Das Haus ist alt.,The house is old. Plural: die Häuser
viel,"much, a lot",Er arbeitet viel.,He works a lot. viele: many
drei,three,Der Kurs dauert drei Wochen.,The course lasts three weeks.
der Freund,"the friend, the boyfriend",Mein Freund wohnt in Köln.,My friend lives in Cologne. Plural: die Freunde
der Mensch,"the human, the person",Viele Menschen mögen Kaffee.,Many people like coffee. Plural: die Menschen
essen,to eat,Wir essen um sieben.,"We eat at seven. du isst, er isst"
die Angst,the fear,Ich habe Angst vor Hunden.,I am afraid of dogs. Plural: die Ängste
bleiben,to stay,Bleib hier.,Stay here.
zusammen,together,Wir lernen zusammen.,We study together.
die Welt,the world,Die Welt ist groß.,The world is big.
unter,"under, among",Die Katze liegt unter dem Tisch.,The cat is lying under the table.
schnell,"fast, quick",Das Auto ist schnell.,The car is fast.
tot,dead,Die Pflanze ist tot.,The plant is dead.
stimmen,to be correct,Das stimmt.,That is right.
nehmen,to take,Ich nehme den Bus.,"I take the bus. du nimmst, er nimmt"
das Kind,the child,Das Kind schläft.,The child is sleeping. Plural: die Kinder
glauben,"to believe, to think","Ich glaube, es regnet.",I think it is raining.
bringen,to bring,Bring bitte Brot mit.,Please bring bread.
ganz,"whole, quite",Ich habe den ganzen Tag gearbeitet.,I worked the whole day.
genug,enough,Wir haben genug Zeit.,We have enough time.
brauchen,to need,Ich brauche eine Pause.,I need a break.
der Moment,the moment,"Einen Moment, bitte.","One moment, please. Plural: die Momente"
der Junge,the boy,Der Junge spielt Fußball.,The boy plays football. Plural: die Jungen
die Musik,the music,Ich mag laute Musik.,I like loud music.
die Arbeit,"the work, the job",Die Arbeit beginnt um neun.,Work starts at nine.
fragen,to ask,Frag den Lehrer.,Ask the teacher.
der Herr,"the gentleman, Mr","Guten Tag, Herr Müller.","Good day, Mr Müller. Plural: die Herren"
heißen,to be called,Ich heiße Anna.,"My name is Anna. du heißt, er heißt"
die Familie,the family,Meine Familie ist groß.,My family is big. Plural: die Familien
warten,to wait,Wir warten auf den Zug.,We are waiting for the train.
niemand,nobody,Niemand ist zu Hause.,Nobody is at home.
sofort,immediately,Komm sofort her.,Come here immediately.
bevor,before,"Wasch die Hände, bevor du isst.",Wash your hands before you eat.
das Jahr,the year,Das Jahr hat zwölf Monate.,The year has twelve months. Plural: die Jahre
einmal,once,Ich war einmal in Wien.,I was in Vienna once.
das Problem,the problem,Das ist kein Problem.,That is no problem. Plural: die Probleme
der Sohn,the son,Ihr Sohn ist zehn Jahre alt.,Her son is ten years old. Plural: die Söhne
wann,when,Wann kommt der Bus?,When does the bus come?
fertig,"finished, ready",Bist du fertig?,Are you finished?
sprechen,to speak,Sprechen Sie Deutsch?,"Do you speak German? du sprichst, er spricht"
beide,both,Beide Kinder sind müde.,Both children are tired.
die Hilfe,the help,Danke für deine Hilfe.,Thanks for your help.
halten,"to hold, to stop",Halt die Tasche fest.,"Hold the bag tight. du hältst, er hält"
wahr,true,Das ist nicht wahr.,That is not true.
der Bruder,the brother,Mein Bruder ist älter als ich.,My brother is older than me. Plural: die Brüder
denken,to think,Ich denke an dich.,I am thinking of you.
lieber,"rather, preferably",Ich trinke lieber Tee.,I would rather drink tea.
vergessen,to forget,Vergiss den Schlüssel nicht.,"Do not forget the key. du vergisst, er vergisst"
die Frage,the question,Ich habe eine Frage.,I have a question. Plural: die Fragen
die Uhr,"the clock, o'clock",Es ist drei Uhr.,It is three o'clock. Plural: die Uhren
die Stadt,"the city, the town",Die Stadt ist laut.,The city is loud. Plural: die Städte
das Baby,the baby,Das Baby weint.,The baby is crying. Plural: die Babys
fahren,"to drive, to ride, to go (by vehicle)",Wir fahren nach Hamburg.,"We are going to Hamburg. du fährst, er fährt"
der Name,the name,Wie ist Ihr Name?,What is your name? Plural: die Namen
bekommen,"to get, to receive",Ich bekomme ein Paket.,I am getting a parcel.
der Kopf,the head,Mein Kopf tut weh.,My head hurts. Plural: die Köpfe
klein,small,Die Wohnung ist klein.,The flat is small.
später,later,Wir essen später.,We will eat later.
das Glück,"the luck, the happiness",Viel Glück!,Good luck!
letzte,last,Das ist die letzte Frage.,That is the last question.
das Ende,the end,Das Ende des Films ist traurig.,The end of the film is sad.
bald,soon,Bis bald!,See you soon!
das Ding,the thing,Was ist das für ein Ding?,What kind of thing is that? Plural: die Dinge
toll,great,Das Konzert war toll.,The concert was great.
die Minute,the minute,Der Bus kommt in fünf Minuten.,The bus comes in five minutes. Plural: die Minuten
bereit,ready,Ich bin bereit.,I am ready.
weit,far,Der Bahnhof ist nicht weit.,The station is not far.
die Ahnung,"the idea, the clue",Ich habe keine Ahnung.,I have no idea.
ein bisschen,a little,Ich spreche ein bisschen Deutsch.,I speak a little German.
die Tür,the door,Die Tür ist offen.,The door is open. Plural: die Türen
das Auto,the car,Das Auto ist neu.,The car is new. Plural: die Autos
das Auge,the eye,Sie hat blaue Augen.,She has blue eyes. Plural: die Augen
die Polizei,the police,Ruf die Polizei!,Call the police!
stehen,to stand,Der Tisch steht am Fenster.,The table stands by the window.
sterben,to die,Die Blumen sterben ohne Wasser.,The flowers die without water. er stirbt
draußen,outside,Draußen ist es kalt.,It is cold outside.
vorbei,"over, past",Der Winter ist vorbei.,The winter is over.
treffen,to meet,Wir treffen uns um sechs.,"We meet at six. du triffst, er trifft"
gern,"gladly, like to",Ich lese gern.,I like to read.
arbeiten,to work,Sie arbeitet in einer Bank.,She works in a bank.
verrückt,crazy,Das ist eine verrückte Idee.,That is a crazy idea.
neu,new,Ich habe ein neues Handy.,I have a new phone.
hinter,behind,Der Garten ist hinter dem Haus.,The garden is behind the house.
die Sorge,the worry,Mach dir keine Sorgen.,Do not worry. Plural: die Sorgen
einzig,"only, single",Das ist mein einziges Hemd.,That is my only shirt.
die Tochter,the daughter,Ihre Tochter studiert.,Her daughter is at university. Plural: die Töchter
die Idee,the idea,Gute Idee!,Good idea! Plural: die Ideen
die Schwester,the sister,Meine Schwester wohnt in Bonn.,My sister lives in Bonn. Plural: die Schwestern
ruhig,"calm, quiet",Die Straße ist ruhig.,The street is quiet.
spät,late,Es ist schon spät.,It is already late.
ziemlich,"quite, fairly",Das Buch ist ziemlich dick.,The book is quite thick.
kurz,short,Der Weg ist kurz.,The way is short.
suchen,to look for,Ich suche meine Brille.,I am looking for my glasses.
lang,long,Der Fluss ist lang.,The river is long.
der Job,the job,Er hat einen neuen Job.,He has a new job. Plural: die Jobs
verstehen,to understand,Ich verstehe dich nicht.,I do not understand you.
spielen,to play,Die Kinder spielen draußen.,The children are playing outside.
groß,"big, tall",Berlin ist eine große Stadt.,Berlin is a big city.
die Hand,the hand,Gib mir deine Hand.,Give me your hand. Plural: die Hände
der Grund,the reason,Was ist der Grund?,What is the reason? Plural: die Gründe
die Mama,the mum,"Mama, ich habe Hunger.","Mum, I am hungry."
die Stunde,the hour,Der Film dauert zwei Stunden.,The film lasts two hours. Plural: die Stunden
hoffen,to hope,"Ich hoffe, du kommst.",I hope you are coming.
oben,"up, upstairs",Das Bad ist oben.,The bathroom is upstairs.
gestern,yesterday,Gestern war Sonntag.,Yesterday was Sunday.
versuchen,to try,Ich versuche es noch einmal.,I will try again.
endlich,finally,Endlich ist Wochenende.,It is finally the weekend.
schwer,"heavy, difficult",Die Tasche ist schwer.,The bag is heavy.
anders,"different, differently",Hier ist alles anders.,Everything is different here.
fünf,five,Ich habe fünf Euro.,I have five euros.
das Wasser,the water,Das Wasser ist warm.,The water is warm.
erste,first,Das ist mein erster Tag.,This is my first day.
die Geschichte,"the story, the history",Erzähl mir eine Geschichte.,Tell me a story. Plural: die Geschichten
holen,"to fetch, to get",Ich hole Brötchen.,I am getting bread rolls.
bedeuten,to mean,Was bedeutet dieses Wort?,What does this word mean?
nett,"nice, kind",Der Nachbar ist nett.,The neighbour is nice.
die Wahrheit,the truth,Sag mir die Wahrheit.,Tell me the truth.
die Woche,the week,Nächste Woche habe ich Urlaub.,Next week I am on holiday. Plural: die Wochen
bestimmt,"certainly, definitely",Er kommt bestimmt.,He will definitely come.
